semana,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
olimpico_1,0.68,0.68,0.77,0.77,0.77,0.81,0.81,0.81,0.81,0.81,0.81,0.84,0.84,0.90,0.90
olimpico_2,0.74,0.74,0.77,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.86,0.90,0.90,0.94,0.94
olimpico_3,0.77,0.77,0.84,0.87,0.87,0.87,0.90,0.90,0.94,0.94,0.94,0.97,0.97,0.97,0.97
olimpico_4,0.81,0.84,0.90,0.90,0.94,0.94,0.94,0.97,0.97,0.97,1.00,1.00,1.00,1.00,1.03
no_olimpico,0.70,0.70,0.75,0.75,0.80,0.80,0.85,0.85,0.90,0.90,0.90,0.95,0.95,1.00,1.00
