semana,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
olimpico_1_rep,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0
olimpico_2_rep,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0
olimpico_3_rep,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
olimpico_4_rep,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
no_olimpico_rep,7.0,7.0,5.0,6.0,4.0,5.0,3.0,4.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0
extra_rep,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0
