6.842614216390855653e+00,6.842614216390855653e+00,5.402519684265180366e+00,4.588886294164169932e+00,4.157658003857283902e+00,3.890696094048643694e+00,3.713102728337236424e+00,3.588092165463312444e+00,3.495045176031677414e+00,3.422584236081850140e+00,3.364149959103051923e+00,3.315722458323852706e+00,3.274706024117298053e+00,3.239347727513392172e+00,3.208417618041218500e+00,3.181025131304125342e+00,3.156508227954328838e+00,3.134363997596242069e+00,3.114203039357159586e+00,3.095719075358721373e+00,3.078667548364557582e+00,3.062850841455724726e+00,3.048107197147158942e+00,3.034302976222913450e+00,3.021326451880792963e+00,3.009083534721938236e+00,2.997494049687153606e+00,2.986489279020353216e+00,2.976009576268099366e+00,2.966002904902582671e+00,2.956423201879200935e+00,2.947229472249730975e+00,2.938384579630633819e+00,2.929854641000906312e+00,2.921608049210675961e+00,2.913615002367187401e+00,2.905846631589647622e+00,2.898274561893270374e+00,2.890870093664456242e+00,2.883603804364810674e+00,2.876444912258431685e+00,2.869361225429360562e+00,2.862319264572167121e+00,2.855285427405186649e+00,2.848229419208242685e+00,2.841135161397643660e+00,2.833993155446543621e+00,2.826727327087966035e+00,2.819962889998960609e+00,2.819962889998960609e+00
6.842614216390855653e+00,6.842614216390855653e+00,5.402519684265180366e+00,4.588886294164169932e+00,4.157658003857283902e+00,3.890696094048643694e+00,3.713102728337236424e+00,3.588092165463312444e+00,3.495045176031677414e+00,3.422584236081850140e+00,3.364149959103051923e+00,3.315722458323852706e+00,3.274706024117298053e+00,3.239347727513392172e+00,3.208417618041218500e+00,3.181025131304125342e+00,3.156508227954328838e+00,3.134363997596242069e+00,3.114203039357159586e+00,3.095719075358721373e+00,3.078667548364557582e+00,3.062850841455724726e+00,3.048107197147158942e+00,3.034302976222913450e+00,3.021326451880792963e+00,3.009083534721938236e+00,2.997494049687153606e+00,2.986489279020353216e+00,2.976009576268099366e+00,2.966002904902582671e+00,2.956423201879200935e+00,2.947229472249730975e+00,2.938384579630633819e+00,2.929854641000906312e+00,2.921608049210675961e+00,2.913615002367187401e+00,2.905846631589647622e+00,2.898274561893270374e+00,2.890870093664456242e+00,2.883603804364810674e+00,2.876444912258431685e+00,2.869361225429360562e+00,2.862319264572167121e+00,2.855285427405186649e+00,2.848229419208242685e+00,2.841135161397643660e+00,2.833993155446543621e+00,2.826727327087966035e+00,2.819962889998960609e+00,2.819962889998960609e+00
6.027990093835808416e+00,6.027990093835808416e+00,5.201545240669458003e+00,4.608997155668131285e+00,4.229240434197613752e+00,3.966157341059010299e+00,3.779422254871961595e+00,3.643265911764117959e+00,3.540372990672352227e+00,3.459957190566393948e+00,3.395253975832755788e+00,3.341889432357725287e+00,3.296950346556858147e+00,3.258436813458676529e+00,3.224935985845142294e+00,3.195422642332387930e+00,3.169135882695306883e+00,3.145498740741871302e+00,3.124066428490166913e+00,3.104489902757262776e+00,3.086492037772695873e+00,3.069849238539708924e+00,3.054379728050940379e+00,3.039933337289137061e+00,3.026385547749423921e+00,3.013631300532651380e+00,3.001581971391544812e+00,2.990161287307790516e+00,2.979303869781039449e+00,2.968952316997161223e+00,2.959056607221094204e+00,2.949571856993395080e+00,2.940458191611839300e+00,2.931678911728741621e+00,2.923200595772049937e+00,2.914991521496548277e+00,2.907021853767632003e+00,2.899262244847506498e+00,2.891684046955100396e+00,2.884258128029288493e+00,2.876955220305536187e+00,2.869745261179256435e+00,2.862598400722508263e+00,2.855485549992835104e+00,2.848381865585844164e+00,2.841277399988733521e+00,2.834169112651040656e+00,2.826925434779216761e+00,2.819945153518319092e+00,2.819945153518319092e+00
5.425241968018338135e+00,5.425241968018338135e+00,4.956835122856209530e+00,4.530547396069573018e+00,4.214506480803150268e+00,3.977961857269874724e+00,3.800740021537944990e+00,3.666507484040710807e+00,3.562559165830109009e+00,3.480096871619084986e+00,3.413167875869874024e+00,3.357709206885961528e+00,3.310905629324917054e+00,3.270769981660510251e+00,3.235869364095846024e+00,3.205150234518242769e+00,3.177822096337311386e+00,3.153282470028303308e+00,3.131063712201259008e+00,3.110798791389247420e+00,3.092194580830303963e+00,3.075015458056066908e+00,3.059068536952504136e+00,3.044195673170006167e+00,3.030264487984268840e+00,3.017164613816572860e+00,3.004801711902608918e+00,2.993095964712572776e+00,2.981977729345762107e+00,2.971387253326472688e+00,2.961271272679661504e+00,2.951583391650502541e+00,2.942281262541801112e+00,2.933327303499700278e+00,2.924686264838430638e+00,2.916326082127807418e+00,2.908215726244820942e+00,2.900326068675044500e+00,2.892627990394502913e+00,2.885093235781543086e+00,2.877692892191843654e+00,2.870398429655797834e+00,2.863180984489921865e+00,2.856012957614020298e+00,2.848869159594802358e+00,2.841737560477858526e+00,2.834611421318331548e+00,2.827320952136228804e+00,2.820111528507772913e+00,2.820111528507772913e+00
4.967172639197072748e+00,4.967172639197072748e+00,4.713305294534420931e+00,4.420145951122472994e+00,4.170255833126510048e+00,3.967491794306758912e+00,3.806394840413137359e+00,3.679008878009581984e+00,3.577387398156587572e+00,3.495140716133986913e+00,3.427496205684954500e+00,3.370961162721213711e+00,3.322990667728432435e+00,3.281718936730497749e+00,3.245764319273168663e+00,3.214088752639268076e+00,3.185902946718709661e+00,3.160597008621840232e+00,3.137695154434679168e+00,3.116819906749592306e+00,3.097670126180903427e+00,3.080001058399679525e+00,3.063613688537141222e+00,3.048342594043015108e+00,3.034051074623592470e+00,3.020623048719338399e+00,3.007961259581812374e+00,2.995981371882622923e+00,2.984611859226767638e+00,2.973789361802868569e+00,2.963459493086103347e+00,2.953572970172034129e+00,2.944086900113850547e+00,2.934961428126087846e+00,2.926161233971062980e+00,2.917652566458880159e+00,2.909404773884804118e+00,2.901387664944357514e+00,2.893572965872111880e+00,2.885932019764799072e+00,2.878437165041034085e+00,2.871059936821287017e+00,2.863772599559701426e+00,2.856547027779570147e+00,2.849356766509650640e+00,2.842184851588668959e+00,2.835018898001540055e+00,2.827662111337239548e+00,2.820254402276382688e+00,2.820254402276382688e+00
4.625558174250889110e+00,4.625558174250889110e+00,4.496360301675232485e+00,4.300436745192882881e+00,4.108717054958872517e+00,3.940198235795852710e+00,3.798287075500713428e+00,3.681036687099274118e+00,3.584456375026417785e+00,3.504467960863632214e+00,3.437590287759219265e+00,3.381044436493010785e+00,3.332673874278509807e+00,3.290824398361750891e+00,3.254226174162701213e+00,3.221901471427484065e+00,3.193089811536456768e+00,3.167196398805792512e+00,3.143749446130425618e+00,3.122373373184558876e+00,3.102763979206458966e+00,3.084675021036645592e+00,3.067902827227082074e+00,3.052280064129363257e+00,3.037665411026431617e+00,3.023941268160987406e+00,3.011006228242572025e+00,2.998774982120042232e+00,2.987172397145055669e+00,2.976134645524694200e+00,2.965604260050686225e+00,2.955531917586853741e+00,2.945872143249769870e+00,2.936585402554359181e+00,2.927634287145153280e+00,2.918985688678860768e+00,2.910607383803191173e+00,2.902470128065750110e+00,2.894544605405889204e+00,2.886803331677091577e+00,2.879217989730687766e+00,2.871761134054603204e+00,2.864404091838829824e+00,2.857118398492456635e+00,2.849874275197169293e+00,2.842649778329034760e+00,2.835426155927901704e+00,2.827988206659584502e+00,2.820394536008245190e+00,2.820394536008245190e+00
4.372595758339474337e+00,4.372595758339474337e+00,4.312780926163283013e+00,4.184101977128282357e+00,4.039802077852667317e+00,3.902714020281404128e+00,3.780528416606703690e+00,3.675063683176517770e+00,3.585264322314191343e+00,3.509016652859267005e+00,3.444070783769067390e+00,3.388395805217597534e+00,3.340284634200971325e+00,3.298347880528002207e+00,3.261474020797396012e+00,3.228776439271802801e+00,3.199550159510858194e+00,3.173230246582526615e+00,3.149364211192888785e+00,3.127584565619312418e+00,3.107593614601002585e+00,3.089145443487047782e+00,3.072038444611891350e+00,3.056102918890644116e+00,3.041198188100757704e+00,3.027203471364597220e+00,3.014017678978358816e+00,3.001552221251446717e+00,2.989732346603398927e+00,2.978491132044070344e+00,2.967771677298524757e+00,2.957521871038927053e+00,2.947697013887161877e+00,2.938255152404012804e+00,2.929159852077923620e+00,2.920375997679954150e+00,2.911872514846723270e+00,2.903618583609263393e+00,2.895586142946950936e+00,2.887746484047771567e+00,2.880072402250147157e+00,2.872535184307675404e+00,2.865106396660091814e+00,2.857755180415741503e+00,2.850449339680447114e+00,2.843160877127060004e+00,2.835866398405221478e+00,2.828337344664054953e+00,2.820565625036863810e+00,2.820565625036863810e+00
4.183167775834732538e+00,4.183167775834732538e+00,4.160768394874062359e+00,4.077329169015170507e+00,3.969979174960410084e+00,3.860021282773719697e+00,3.756500862396074947e+00,3.663252560455813267e+00,3.581171124458466082e+00,3.509655651524513864e+00,3.447513232287613416e+00,3.393419504190362535e+00,3.346123311783200549e+00,3.304528114151445539e+00,3.267705189803589150e+00,3.234885488259904296e+00,3.205435268058528742e+00,3.178837022756356046e+00,3.154665021644355694e+00,3.132571375489321408e+00,3.112267319673688526e+00,3.093515416056510592e+00,3.076115740947769961e+00,3.059902595491841293e+00,3.044734022204231394e+00,3.030491454854482125e+00,3.017071356628394430e+00,3.004386680605595217e+00,2.992359852491025762e+00,2.980925287176872107e+00,2.970023258758453188e+00,2.959602978854265043e+00,2.949617107665053251e+00,2.940025065337115606e+00,2.930788063816843536e+00,2.921872416436688269e+00,2.913245031089525927e+00,2.904876523123693488e+00,2.896737123187269614e+00,2.888799405610708249e+00,2.881034558538496437e+00,2.873414567517306839e+00,2.865908882221849030e+00,2.858485818080310992e+00,2.851109217265910267e+00,2.843746801931432255e+00,2.836370456207916391e+00,2.828742782388944832e+00,2.820797631086006341e+00,2.820797631086006341e+00
4.038861166397930802e+00,4.038861166397930802e+00,4.035887487086539771e+00,3.982323342866798122e+00,3.902916361779140697e+00,3.815467781122925395e+00,3.728731075950725504e+00,3.647335039248884136e+00,3.573312916548854190e+00,3.507120911080198855e+00,3.448403816004741440e+00,3.396448213685433704e+00,3.350433105771370101e+00,3.309552703137249807e+00,3.273076110431297092e+00,3.240362993515409684e+00,3.210867863301044789e+00,3.184128316663829228e+00,3.159758319115179237e+00,3.137432675742665378e+00,3.116881126624669651e+00,3.097874655775689767e+00,3.080222546563740060e+00,3.063761150813581580e+00,3.048353583448830229e+00,3.033880452964972996e+00,3.020241436595294093e+00,3.007347390667312492e+00,2.995123124068880038e+00,2.983500459854825149e+00,2.972421694199971043e+00,2.961833348892357609e+00,2.951689951834944203e+00,2.941948346335828024e+00,2.932571530401541615e+00,2.923523461413610747e+00,2.914772742009712925e+00,2.906287879411434183e+00,2.898040611915019493e+00,2.890001563859493583e+00,2.882142993384569696e+00,2.874434778452471750e+00,2.866846454887438611e+00,2.859343400698713289e+00,2.851887548578634135e+00,2.844441444044021328e+00,2.836974328060042350e+00,2.829241436624552630e+00,2.821125852800539402e+00,2.821125852800539402e+00
3.926698957330532203e+00,3.926698957330532203e+00,3.933238768734268032e+00,3.899178112596810131e+00,3.840511060220717088e+00,3.771256311416697926e+00,3.699100617821972747e+00,3.628710228582318287e+00,3.562653875163661166e+00,3.502053720176682372e+00,3.447162934768813525e+00,3.397763835959447754e+00,3.353408948157208691e+00,3.313567671996210606e+00,3.277701791144203014e+00,3.245309137174973824e+00,3.215936668197261650e+00,3.189189355979424434e+00,3.164723791486592219e+00,3.142247965028955647e+00,3.121510392171519488e+00,3.102299075206469414e+00,3.084430715221496033e+00,3.067751019565617465e+00,3.052125059167003940e+00,3.037439112658021578e+00,3.023592167082412629e+00,3.010498944853552405e+00,2.998082310642630866e+00,2.986277055840417916e+00,2.975022999389926426e+00,2.964269170157448396e+00,2.953967473458610993e+00,2.944076993790646579e+00,2.934558168784044963e+00,2.925376989810648087e+00,2.916499655532907020e+00,2.907896462432864482e+00,2.899536896363104521e+00,2.891392985065377896e+00,2.883434748335732323e+00,2.875632779781836401e+00,2.867954041445249569e+00,2.860363416897525823e+00,2.852819272061749789e+00,2.845281326636955210e+00,2.837715511458243522e+00,2.829872350804568004e+00,2.821589192183805217e+00,2.821589192183805217e+00
