archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_vel,rmse_total,tiempo
kf_25_obs_20_freq_300_var_pst.pkl,kf,20,300,pst,0.10991416999285988,0.04870617360650836,0.12352243651252509,0.12972145548630679,0.524231080315282,0.3339403316004116,0.15402077792807622,0.23344182968139648
kf_25_obs_5_freq_300_var_s.pkl,kf,5,300,s,0.09731488045619946,0.04160905355853481,0.12299694702611025,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12459636152283045,0.005701303482055664
nudging_25_obs_5_freq_300_var_pt.pkl,nudging,5,300,pt,0.10045384535023538,0.0419326637140127,0.12298452931196158,0.13319257173282006,0.24724608586731148,0.23595422252107043,0.12533131522432003,0.003933906555175781
4dvar_25_obs_10_freq_300_var_pst.pkl,4dvar,10,300,pst,0.09938864414182584,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1251148001808004,28.788826942443848
enkf_25_obs_20_freq_70_var_pt.pkl,enkf,20,70,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.02701568603515625
nudging_25_obs_10_freq_300_var_t.pkl,nudging,10,300,t,0.10025068577953238,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12533031059022703,0.0030510425567626953
kf_25_obs_5_freq_150_var_pst.pkl,kf,5,150,pst,0.10359343235402482,0.04304854952572714,0.12297613955585239,0.13118712666281113,0.5173585640851899,0.2976644910185764,0.1418206531135452,0.011224985122680664
enkf_25_obs_10_freq_300_var_st.pkl,enkf,10,300,st,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.04429221153259277
enkf_25_obs_20_freq_300_var_pt.pkl,enkf,20,300,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.10548710823059082
nudging_25_obs_10_freq_150_var_pst.pkl,nudging,10,150,pst,0.0995980517052423,0.04208676551983253,0.12297396469852366,0.13317249070310444,0.11801654768046427,0.23580220356815082,0.12511524637293733,0.004099607467651367
kf_25_obs_5_freq_300_var_p.pkl,kf,5,300,p,0.1011919663711747,0.04371167235365376,0.1229965890947199,0.12900368630741077,0.5582254705175802,0.35635945476522757,0.15606492064619398,0.0074574947357177734
4dvar_25_obs_20_freq_150_var_st.pkl,4dvar,20,150,st,0.10797844629518019,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.127262250719139,29.371016263961792
4dvar_25_obs_20_freq_70_var_pst.pkl,4dvar,20,70,pst,0.1083926538551751,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1273658026091377,28.788790225982666
nudging_25_obs_20_freq_300_var_t.pkl,nudging,20,300,t,0.10982528170114389,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12772395957062993,0.004225969314575195
enkf_25_obs_10_freq_70_var_pt.pkl,enkf,10,70,pt,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.01769542694091797
4dvar_25_obs_10_freq_150_var_pt.pkl,4dvar,10,150,pt,0.10057672381423496,0.04160905355853481,0.12299693797236376,0.133824257937718,0.07025582648623095,0.23646456505047725,0.1254118200989027,30.653241634368896
enkf_25_obs_10_freq_300_var_pst.pkl,enkf,10,300,pst,0.09731488045619946,0.041609053558534746,0.1229969379723638,0.13382425793771804,0.07025582648623095,0.23646456505047725,0.12459635925939382,0.07614016532897949
nudging_25_obs_5_freq_150_var_st.pkl,nudging,5,150,st,0.10035374185450208,0.04160905355853481,0.12299693775614372,0.133824257937718,0.07025582648623095,0.23646456505047725,0.12535607455491446,0.0026693344116210938
kf_25_obs_20_freq_70_var_st.pkl,kf,20,70,st,0.12550769812086654,0.04160905355853481,0.1229969206854737,0.133824257937718,0.07025582648623095,0.23646456505047725,0.13164455935383806,0.027231454849243164
nudging_25_obs_5_freq_70_var_pst.pkl,nudging,5,70,pst,0.1006968138216499,0.041688717067087974,0.12299349066221667,0.13366660952504694,0.07014837318990422,0.2363579147030858,0.1254342340635101,0.0017826557159423828
