archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
4dvar_25_obs_20_freq_300_var_pt.pkl,4dvar,20,300,pt,0.06291754838562823,0.04037855691873725,0.2637284576213507,0.12234152097523872,22.082921028137207
enkf_25_obs_10_freq_70_var_ps.pkl,enkf,10,70,ps,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.01828479766845703
enkf_25_obs_5_freq_70_var_pt.pkl,enkf,5,70,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.0087127685546875
nudging_25_obs_20_freq_300_var_s.pkl,nudging,20,300,s,0.08803777548099485,0.04037855691873725,0.2637284898186231,0.13071494073945175,0.004840850830078125
nudging_25_obs_10_freq_300_var_pst.pkl,nudging,10,300,pst,0.07069423666728396,0.04127811424002783,0.26373486838226984,0.12523573976319388,0.007063865661621094
kf_25_obs_20_freq_150_var_pst.pkl,kf,20,150,pst,0.0852691942757153,0.04037980675504722,0.26372840678552256,0.12979246927209503,0.05648326873779297
nudging_25_obs_10_freq_300_var_p.pkl,nudging,10,300,p,0.08785423842598479,0.04127811424002783,0.26373485270953506,0.13095573512518255,0.002844572067260742
4dvar_25_obs_10_freq_150_var_pst.pkl,4dvar,10,150,pst,0.07134737599190225,0.04037855691873725,0.2637284576213507,0.1251514635106634,21.786288499832153
4dvar_25_obs_10_freq_300_var_st.pkl,4dvar,10,300,st,0.06708985616046846,0.04037855691873725,0.2637284576213507,0.1237322902335188,22.08511781692505
kf_25_obs_5_freq_300_var_pst.pkl,kf,5,300,pst,0.08732305333848585,0.04037890088601851,0.2637284550148165,0.13047680307977363,0.01353907585144043
kf_25_obs_10_freq_70_var_st.pkl,kf,10,70,st,0.08725526378175688,0.04037855691873725,0.2637284576279202,0.1304540927761381,0.004667043685913086
nudging_25_obs_10_freq_70_var_pst.pkl,nudging,10,70,pst,0.07033786081711593,0.04060725005498021,0.2637285650770911,0.12489122531639574,0.0020873546600341797
nudging_25_obs_10_freq_150_var_st.pkl,nudging,10,150,st,0.07062404392789373,0.04037855691873725,0.2637284699553717,0.12491035693400089,0.002599000930786133
4dvar_25_obs_5_freq_300_var_t.pkl,4dvar,5,300,t,0.06697769522875617,0.04037855691873725,0.2637284576213507,0.12369490325628137,22.445144176483154
nudging_25_obs_5_freq_150_var_t.pkl,nudging,5,150,t,0.07169564575919406,0.04037855691873725,0.2637284576213507,0.125267553433094,0.0016193389892578125
4dvar_25_obs_20_freq_300_var_t.pkl,4dvar,20,300,t,0.06291754838562823,0.04037855691873725,0.2637284576213507,0.12234152097523872,22.383947610855103
enkf_25_obs_10_freq_150_var_s.pkl,enkf,10,150,s,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.012258529663085938
enkf_25_obs_5_freq_150_var_t.pkl,enkf,5,150,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.009750604629516602
nudging_25_obs_20_freq_150_var_pt.pkl,nudging,20,150,pt,0.06769392237017512,0.04150295985233243,0.26369114738902105,0.12429600987050954,0.0035610198974609375
nudging_25_obs_20_freq_70_var_p.pkl,nudging,20,70,p,0.08777665553695863,0.04093501748719383,0.263707787715578,0.13080648691324348,0.001251220703125
enkf_25_obs_10_freq_70_var_t.pkl,enkf,10,70,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.007780551910400391
kf_25_obs_5_freq_300_var_pt.pkl,kf,5,300,pt,0.08732305333848585,0.04037890088601851,0.26372845500557307,0.1304768030766925,0.009716272354125977
enkf_25_obs_20_freq_150_var_p.pkl,enkf,20,150,p,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.03061962127685547
