metodo,archivo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo,n_variables
4dvar,4dvar_25x25_obs_10_freq_300_var_p.pkl,10,300,p,0.0910063932903412,0.0403785569187372,0.2637284576213507,0.1317044692768097,27.12010145187378,1
enkf,enkf_25x25_obs_20_freq_70_var_st.pkl,20,70,st,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0223808288574218,2
kf,kf_25x25_obs_20_freq_300_var_t.pkl,20,300,t,0.0880350999521586,0.0403785569187372,0.2637284576213507,0.1307140381640822,0.053964614868164,1
nudging,nudging_25x25_obs_5_freq_70_var_s.pkl,5,70,s,0.0880377754809948,0.0403785569187372,0.2637284754264878,0.1307149359420733,0.0007596015930175,1
