metodo,archivo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo,n_variables,score_balance
4dvar,4dvar_25x25_obs_10_freq_300_var_p.pkl,10,300,p,0.0910063932903412,0.0403785569187372,0.2637284576213507,0.1317044692768097,27.12010145187378,1,3.5718385684522724
enkf,enkf_25x25_obs_5_freq_70_var_t.pkl,5,70,t,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0040240287780761,1,0.0005260006400724818
kf,kf_25x25_obs_5_freq_70_var_p.pkl,5,70,p,0.0880377308385359,0.0403786372272907,0.2637284570079694,0.1307149416912653,0.0015556812286376,1,0.00020335078109155982
nudging,nudging_25x25_obs_5_freq_70_var_t.pkl,5,70,t,0.092717843916635,0.0403785569187372,0.2637284576213507,0.1322749528189076,0.0006849765777587,1,9.060524450508885e-05
