res,x_sep,bubble,delta,archivo,rmse_T,rmse_p,rmse_tau,tiempo,rmse_total
25.0,0.125,0.8333333333333334,1.0,,,,,,
50.0,0.061224489795918366,0.9183673469387755,1.0,,,,,,
100.0,0.04040404040404041,0.9494949494949495,1.0,,,,,,
200.0,0.020100502512562814,0.9748743718592965,1.0,,,,,,
400.0,0.010025062656641603,0.987468671679198,1.0,,,,,,
800.0,0.0050062578222778474,0.9937421777221527,1.0,,,,,,
,,,,original,0.09731488045624491,0.04098825210096256,0.12299693797494414,0.0,0.0871000235107172
