archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
kf_25x25_obs_20_freq_150_var_t.pkl,kf,20,150,t,0.0880372207727049,0.0403785569187372,0.2637284576213507,0.1307147451042642,0.0235335826873779
enkf_25x25_obs_5_freq_300_var_t.pkl,enkf,5,300,t,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0240066051483154
nudging_25x25_obs_20_freq_300_var_p.pkl,nudging,20,300,p,0.0880487628019327,0.0423905197004541,0.2636736730925667,0.1313709851983178,0.0039467811584472
nudging_25x25_obs_10_freq_300_var_s.pkl,nudging,10,300,s,0.0880377754809948,0.0403785569187372,0.2637286543339325,0.1307149955778882,0.0031969547271728
enkf_25x25_obs_20_freq_70_var_pt.pkl,enkf,20,70,pt,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0273382663726806
nudging_25x25_obs_5_freq_300_var_p.pkl,nudging,5,300,p,0.0880874173775432,0.0407033560041866,0.2637288108902836,0.1308398614240045,0.002347707748413
enkf_25x25_obs_10_freq_70_var_pt.pkl,enkf,10,70,pt,0.0880377754809948,0.0403785569187371,0.2637284576213507,0.1307149300070275,0.0223069190979003
nudging_25x25_obs_20_freq_300_var_s.pkl,nudging,20,300,s,0.0880377754809948,0.0403785569187372,0.2637288550533892,0.1307150624843737,0.0041358470916748
nudging_25x25_obs_20_freq_300_var_st.pkl,nudging,20,300,st,0.0925868604697425,0.0403785569187372,0.2637288550533892,0.1322314241472897,0.0064964294433593
4dvar_25x25_obs_5_freq_300_var_t.pkl,4dvar,5,300,t,0.1019575235161493,0.0403785569187372,0.2637284576213507,0.1353548460187457,949.23894906044
nudging_25x25_obs_10_freq_300_var_p.pkl,nudging,10,300,p,0.0878542398775023,0.0412781166924868,0.2637348529899003,0.1309557365199632,0.0025529861450195
kf_25x25_obs_10_freq_150_var_t.pkl,kf,10,150,t,0.0880376376602407,0.0403785569187372,0.2637284576213507,0.1307148840667762,0.0061028003692626
nudging_25x25_obs_10_freq_300_var_pt.pkl,nudging,10,300,pt,0.0955037832816613,0.0412781166924868,0.2637348529899003,0.1335055843213495,0.00504732131958
