6.211606546223064740e+00,6.211606546223064740e+00,5.543763369462639368e+00,5.137198463771833090e+00,4.892665959946465470e+00,4.737263239645339574e+00,4.633140572680664704e+00,4.559302302901699022e+00,4.504125249360381389e+00,4.461049020432380274e+00,4.426228651446804108e+00,4.397305290506291264e+00,4.372759777484415800e+00,4.351564417409122143e+00,4.332988463001515633e+00,4.316484701145968828e+00,4.301620158273865790e+00,4.288031392431926214e+00,4.275393597641099497e+00,4.263397840474038247e+00,4.251735989427497309e+00,4.240093083320699563e+00,4.228133381598674134e+00,4.216809581283631481e+00,4.216809581283631481e+00
6.211606546223064740e+00,6.211606546223064740e+00,5.543763369462639368e+00,5.137198463771833090e+00,4.892665959946465470e+00,4.737263239645339574e+00,4.633140572680664704e+00,4.559302302901699022e+00,4.504125249360381389e+00,4.461049020432380274e+00,4.426228651446804108e+00,4.397305290506291264e+00,4.372759777484415800e+00,4.351564417409122143e+00,4.332988463001515633e+00,4.316484701145968828e+00,4.301620158273865790e+00,4.288031392431926214e+00,4.275393597641099497e+00,4.263397840474038247e+00,4.251735989427497309e+00,4.240093083320699563e+00,4.228133381598674134e+00,4.216809581283631481e+00,4.216809581283631481e+00
5.826270159901850931e+00,5.826270159901850931e+00,5.434707366623923619e+00,5.130504168833796896e+00,4.917132989580618840e+00,4.767454960749342163e+00,4.660775476693963526e+00,4.582442906434547325e+00,4.522912989506684411e+00,4.476154297851740793e+00,4.438343410809578060e+00,4.407008993096484417e+00,4.380507650877098591e+00,4.357708842139774497e+00,4.337804472862597294e+00,4.320191845082155702e+00,4.304400027869585976e+00,4.290042287053041470e+00,4.276784236873670153e+00,4.264321345083828874e+00,4.252362374654697241e+00,4.240610840345568455e+00,4.228668340874243370e+00,4.217048558782554579e+00,4.217048558782554579e+00
5.539438570417291707e+00,5.539438570417291707e+00,5.309458226309954121e+00,5.086508826008224737e+00,4.908731629053171730e+00,4.773480196481326487e+00,4.671640506761095324e+00,4.594111585921653251e+00,4.533837313347979681e+00,4.485841518271319828e+00,4.446724804733187320e+00,4.414172009241522865e+00,4.386586588929169750e+00,4.362842885847282304e+00,4.342123645206568128e+00,4.323814190032888582e+00,4.307433200975862242e+00,4.292586913833023488e+00,4.278938066117595973e+00,4.266183347115701352e+00,4.254034505970101243e+00,4.242195453688645479e+00,4.230234713002720248e+00,4.218273193634988871e+00,4.218273193634988871e+00
5.315165436128300058e+00,5.315165436128300058e+00,5.185637895506572725e+00,5.029921196308966280e+00,4.888652348633899081e+00,4.771489358438062212e+00,4.677665220144243463e+00,4.603085088619184084e+00,4.543379719761698077e+00,4.494913968879723498e+00,4.454927195254862582e+00,4.421396998718361004e+00,4.392855259492405295e+00,4.368228916194029310e+00,4.346719402729902981e+00,4.327716341626942409e+00,4.310737296361010884e+00,4.295386091009811835e+00,4.281323532610784355e+00,4.268245172957802147e+00,4.255860629182654620e+00,4.243868791945195618e+00,4.231828190953740965e+00,4.219523723804718074e+00,4.219523723804718074e+00
5.148846109193809362e+00,5.148846109193809362e+00,5.077483528370048127e+00,4.970829681520045895e+00,4.861431599149997673e+00,4.762845094778699995e+00,4.678901802795457421e+00,4.609072692385315584e+00,4.551295766772231133e+00,4.503285595030670940e+00,4.463026566739792145e+00,4.428892902280543886e+00,4.399622523410902097e+00,4.374247371701301290e+00,4.352021362189132603e+00,4.332359606884817360e+00,4.314791381738372955e+00,4.298925124015321231e+00,4.284422395904928571e+00,4.270976926690464026e+00,4.258293678005258265e+00,4.246064002106241020e+00,4.233853769649099874e+00,4.221153718505563646e+00,4.221153718505563646e+00
5.025550413950099937e+00,5.025550413950099937e+00,4.986899391293132311e+00,4.914516018710366474e+00,4.831216623501802587e+00,4.750051203270115430e+00,4.676711789737772129e+00,4.612829166526489999e+00,4.558073598044424912e+00,4.511348702908414943e+00,4.471389767081050515e+00,4.437022338001773036e+00,4.407247492575486980e+00,4.381247820541267934e+00,4.358362502264388816e+00,4.338054469044081429e+00,4.319879342065709338e+00,4.303459341266797189e+00,4.288462024977031994e+00,4.274581863220640265e+00,4.261520638136448547e+00,4.248963299436007368e+00,4.236497180853091571e+00,4.223363748227309422e+00,4.223363748227309422e+00
4.933198099538658177e+00,4.933198099538658177e+00,4.912606055967444263e+00,4.863482767131854345e+00,4.800574004522196958e+00,4.734715848453917353e+00,4.671805314047220214e+00,4.614507434442399081e+00,4.563608995744815822e+00,4.518928962751838974e+00,4.479865480296065350e+00,4.445691896817832500e+00,4.415699394415892876e+00,4.389253798065221090e+00,4.365808372319671449e+00,4.344896479261294076e+00,4.326116861482909748e+00,4.309117574189559541e+00,4.293580750825718440e+00,4.279207816651967811e+00,4.265702677933607134e+00,4.252748419998402696e+00,4.239964900009162818e+00,4.226395745930830117e+00,4.226395745930830117e+00
4.862805997804418467e+00,4.862805997804418467e+00,4.852086055517708552e+00,4.818543383718603579e+00,4.771112943343222668e+00,4.718122194922642620e+00,4.664859404585834923e+00,4.614273113981229635e+00,4.567747698815484370e+00,4.525719443965267708e+00,4.488105595407826165e+00,4.454574115438501458e+00,4.424699134263410549e+00,4.398042312958549083e+00,4.374189640371585419e+00,4.352763419783725496e+00,4.333421590718667282e+00,4.315851329350457455e+00,4.299760221705811070e+00,4.284865861898741635e+00,4.270882848772298956e+00,4.257500511004937316e+00,4.244380317540588088e+00,4.230429850222991561e+00,4.230429850222991561e+00
4.808109922580758422e+00,4.808109922580758422e+00,4.802768839669643519e+00,4.779636096949462676e+00,4.743757874382510842e+00,4.701255830962079330e+00,4.656525079137850298e+00,4.612373341656102355e+00,4.570411592210581020e+00,4.531432809413701079e+00,4.495715695867300354e+00,4.463240329295878439e+00,4.433828806564227953e+00,4.407230347174725615e+00,4.383168719140452474e+00,4.361365764075539886e+00,4.341550790418111205e+00,4.323462029708331045e+00,4.306843734023962256e+00,4.291440242301193031e+00,4.276987358519222404e+00,4.263191550830303100e+00,4.249763287798756117e+00,4.235545849835972376e+00,4.235545849835972376e+00
